gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection
HDGF	HDGF	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19774390803132316	0.49078398135724	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19774390803132316
RAB3IP	RAB3IP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19716779965009673	0.28467473461952914	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19716779965009673
ESD	ESD	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.1970314833410885	0.674953671997744	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.1970314833410885
SH3GL1	SH3GL1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3546131826370209	0.19697369575139353	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19697369575139353
LTA4H	LTA4H	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1968942843259246	0.26104047424999766	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1968942843259246
DCAKD	DCAKD	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19685857180295552	0.43334067637363516	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19685857180295552
ENOPH1	ENOPH1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.20369383038066396	0.19668076907582607	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19668076907582607
VRK1	VRK1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.21978613910561007	0.1966374660018595	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1966374660018595
AIMP1	AIMP1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19645948712957642	0.44923288026978836	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19645948712957642
HERPUD1	HERPUD1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19603462184181908	0.28309661690872745	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19603462184181908
NAMPT	NAMPT	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.2767000727104566	0.1958505221044568	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1958505221044568
OTUD5	OTUD5	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.22337472866818026	0.19575691365278758	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19575691365278758
RPS27L	RPS27L	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.19558932586655237	0.6628196864570389	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.19558932586655237
PRKAG1	PRKAG1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1955707210415597	0.28392305987933025	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1955707210415597
UNK	UNK	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19566697468734495	0.19554948145395717	4	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19554948145395717
PPP2R3C	PPP2R3C	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.195171089095089	0.2859925193446524	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.195171089095089
SNRPB2	SNRPB2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1950498606462536	0.7627979169442731	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1950498606462536
RBM28	RBM28	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19460081097831933	0.3253292743093681	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19460081097831933
MRPS34	MRPS34	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19447776202961767	0.41627317562186433	5	2	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19447776202961767
PRMT1	PRMT1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1944020819660295	0.7675610630959502	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1944020819660295
NDUFS8	NDUFS8	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1941466820780373	0.5395587296520907	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1941466820780373
SEMA4F	SEMA4F	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.2335796203032967	0.19377293126506986	5	2	0.20418218837049995	0.006815655353197771	True	False	1.0	0.19377293126506986
SAP30BP	SAP30BP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19377155274835597	0.27254655266982547	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19377155274835597
TAF2	TAF2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3514534068702322	0.1937449224389869	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1937449224389869
CIZ1	CIZ1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.25269584376377524	0.1935505300605208	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.1935505300605208
SART3	SART3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.24500348626376076	0.19346243473439087	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19346243473439087
RNF20	RNF20	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19345912143497865	0.29429713862071594	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19345912143497865
NDUFB11	NDUFB11	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19326515731501315	0.7943660346019046	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19326515731501315
ETF1	ETF1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19323151764623336	0.3175350781594843	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19323151764623336
HTATSF1	HTATSF1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.19312010434244364	0.45559232442616804	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.19312010434244364
RWDD1	RWDD1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19305756952078024	0.589681677042693	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19305756952078024
GPS1	GPS1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19268438380885478	0.4223424925394873	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19268438380885478
SEC61B	SEC61B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19260442734523003	0.7895215432957647	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19260442734523003
RRN3	RRN3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19257116022384502	0.2182871112284208	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19257116022384502
SPRED2	SPRED2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.2200514127468844	0.19248471374181342	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.19248471374181342
EXOSC10	EXOSC10	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1923869921884136	0.21839050777969835	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1923869921884136
CACNB3	CACNB3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19234483444037698	0.21310128311049112	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19234483444037698
MARS	MARS	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19190731648243553	0.20674432675651302	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19190731648243553
EIF3K	EIF3K	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19178697518944518	0.8182499403468868	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19178697518944518
CLUAP1	CLUAP1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.316006365281579	0.19157722278765604	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19157722278765604
CWC15	CWC15	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.1913612849804832	0.5510973461337035	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.1913612849804832
NRBP1	NRBP1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19126752101398686	0.3277161921790895	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19126752101398686
RGMB	RGMB	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1981756755482529	0.190947567956284	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.190947567956284
PIN4	PIN4	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19059927321842038	0.45496170580014195	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19059927321842038
GPBP1L1	GPBP1L1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.2745281073899299	0.19054426086241372	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19054426086241372
SEH1L	SEH1L	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19044006539558758	0.2319255044137865	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19044006539558758
MRPL18	MRPL18	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19016152446078682	0.49557385520252617	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.19016152446078682
NCBP2	NCBP2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19009867483084525	0.44038116789949766	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19009867483084525
BUB3	BUB3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18971303230699968	0.601088785524591	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18971303230699968
NDUFB7	NDUFB7	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.18969106261096036	0.7471368442418477	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18969106261096036
DNAJC15	DNAJC15	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18944885556461044	0.26866503304937417	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18944885556461044
NRIP1	NRIP1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.18928742065388027	0.24754004457348328	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18928742065388027
TSEN15	TSEN15	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.2092788576696979	0.18928455774576308	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18928455774576308
KLHL12	KLHL12	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18926312592462777	0.1974768729251048	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18926312592462777
INTS8	INTS8	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.31958900183198324	0.189240312910385	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.189240312910385
PCGF6	PCGF6	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.20776882499246052	0.18920685850235452	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18920685850235452
RER1	RER1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.18902749654772721	0.4454505204540454	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18902749654772721
RPS13	RPS13	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18884901258168862	0.9914341615561251	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18884901258168862
MRPL39	MRPL39	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18881383596451182	0.19063236948363646	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18881383596451182
RAE1	RAE1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1886145547204211	0.3055416967514619	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1886145547204211
GSK3A	GSK3A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18857324537325104	0.2214437056942113	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18857324537325104
SNX24	SNX24	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.27515269937762343	0.18857167586142784	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18857167586142784
MRPL4	MRPL4	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18836745516724238	0.36815790411498023	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18836745516724238
MED6	MED6	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.20059471094289327	0.18804404414020495	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18804404414020495
CEP290	CEP290	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3450248007304494	0.1879508343367205	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1879508343367205
RNF114	RNF114	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.1879334365107676	0.28063535988645766	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.1879334365107676
TTC9B	TTC9B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.18788210998837734	0.42941293589382057	5	2	0.20418218837049995	0.006815655353197771	True	False	1.0	0.18788210998837734
MRPS18C	MRPS18C	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.187427385190384	0.4172036092457677	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.187427385190384
FBXW5	FBXW5	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18740000327107187	0.26365428492676846	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18740000327107187
SLBP	SLBP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1872018310128149	0.38901092814046523	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1872018310128149
EEF1B2	EEF1B2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18698040728263904	0.8409256768691566	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18698040728263904
GANAB	GANAB	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.18668262344254816	0.29563335457983175	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18668262344254816
CD2AP	CD2AP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.25899578051935973	0.18661972583476785	5	2	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18661972583476785
MEIS3	MEIS3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.44322486519691484	0.1864945049031827	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1864945049031827
NCLN	NCLN	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1863506451859558	0.19398988824559593	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1863506451859558
DLAT	DLAT	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18633702682069944	0.2462587243689443	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18633702682069944
ARCN1	ARCN1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.1859561262650546	0.2769850606219358	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.1859561262650546
MAT2B	MAT2B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18594572110059043	0.30295298405015203	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18594572110059043
RANBP3	RANBP3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18539205788942353	0.2602503806607593	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18539205788942353
LAS1L	LAS1L	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18538228406379792	0.30582704441420266	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18538228406379792
RFXAP	RFXAP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.18497909063646806	0.1949241010973074	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18497909063646806
PHF12	PHF12	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.184694400958277	0.23615914782921862	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.184694400958277
EXOSC7	EXOSC7	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1844146584505429	0.24486664317438203	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1844146584505429
PFKM	PFKM	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18436806159384073	0.24243939065423564	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18436806159384073
ANAPC7	ANAPC7	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.21367653077964044	0.18433373670200404	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18433373670200404
SECISBP2	SECISBP2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.37038780445672825	0.1842058264648757	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1842058264648757
ZBTB8OS	ZBTB8OS	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.4298931386936045	0.18413095485266456	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.18413095485266456
NASP	NASP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.18405362339531717	0.6013745844785141	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18405362339531717
CEP164	CEP164	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18382221475626942	0.2683048407933246	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18382221475626942
EIF4E2	EIF4E2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18361484329054217	0.3900782927743811	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18361484329054217
NFXL1	NFXL1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.18343015614321012	0.18922027784099954	4	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.18343015614321012
ZRSR2	ZRSR2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1834080179847597	0.25607597453850117	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1834080179847597
TTC33	TTC33	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.2853806593421001	0.1832728385891998	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.1832728385891998
RING1	RING1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18319029515697907	0.213892048007586	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18319029515697907
EXOC2	EXOC2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.4424496406805434	0.18315713157644475	5	2	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18315713157644475
GPSM2	GPSM2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.24198968084260564	0.18303143951484202	4	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18303143951484202
AAMP	AAMP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18271134966791186	0.4469149269133155	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18271134966791186
ZC4H2	ZC4H2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.2579737304620845	0.18270023696696486	4	2	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18270023696696486
FAM118B	FAM118B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1826143347862258	0.22307986301520888	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1826143347862258
KLC2	KLC2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18243159187172883	0.25722868472816623	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18243159187172883
PTPRG	PTPRG	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.7250343063529876	0.18239754099830763	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.18239754099830763
MED24	MED24	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.23004992885126302	0.18239326084479943	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.18239326084479943
MTA1	MTA1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1823007252991295	0.25295031128079104	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1823007252991295
