gene	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	sample_accession	donor_id	present_in_h5	gene_feature_index_0based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	n_peaks_total_100kb	n_gene_body_overlap	n_gene_edge_2kb	n_proximal_10kb	n_distal_100kb
STXBP5L	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558423	H187	True	7002	ENSG00000145087	STXBP5L	chr3	120908071	120908314	19	1	0	0	18
SYNPR	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558423	H187	True	6650	ENSG00000163630	SYNPR	chr3	63278307	63443337	32	19	1	0	12
SYT1	developmental_origin_module;niche_circuit_module	downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558423	H187	True	22185	ENSG00000067715	SYT1	chr12	78863992	79045631	44	28	0	2	14
TBR1	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558423	H187	True	5072	ENSG00000136535	TBR1	chr2	161416296	161417895	8	0	2	1	5
TCF4	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	GSM9558423	H187	True	30583	ENSG00000196628	TCF4	chr18	55302625	55636027	69	55	1	2	11
TCF7L2	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558423	H187	True	18666	ENSG00000148737	TCF7L2	chr10	112950246	112950757	1	1	0	0	0
TMEM178A	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	3883	ENSG00000152154	TMEM178A	chr2	39665916	39665967	32	0	0	3	29
TP53I11	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	19554	ENSG00000175274	TP53I11	chr11	44938334	44951306	41	4	1	2	34
TUBA1A	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	False	1	GSM9558423	H187	True	21658	ENSG00000167552	TUBA1A	chr12	49186863	49189080	28	2	1	1	24
TUBA1B	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	True	21656	ENSG00000123416	TUBA1B	chr12	49131394	49131395	24	1	1	1	21
TUBB	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	11643	ENSG00000196230	TUBB	chr6	30720351	30721699	16	2	1	2	11
TUBB3	developmental_origin_module;niche_circuit_module	shared_neurogenic_niche_state;shared_postmitotic_granule_maturation	EpigenomicCompatibility;NicheSignal	high	False	2	GSM9558423	H187	True	28069	ENSG00000258947	TUBB3	chr16	89921850	89923366	27	1	0	3	23
VIM	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	2	GSM9558423	H187	True	17718	ENSG00000026025	VIM	chr10	17229277	17229278	7	1	1	1	4
WNT1	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558423	H187	True	21646	ENSG00000125084	WNT1	chr12	48978321	48978453	21	0	0	3	18
WNT3A	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	3	GSM9558423	H187	True	3111	ENSG00000154342	WNT3A	chr1	228006997	228006998	6	0	0	0	6
WNT5A	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	6593	ENSG00000114251	WNT5A	chr3	55481392	55489945	9	3	1	0	5
WNT7A	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	4	GSM9558423	H187	True	6085	ENSG00000154764	WNT7A	chr3	13880070	13880071	5	0	0	0	5
ZBTB20	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558423	H187	True	6945	ENSG00000181722	ZBTB20	chr3	114383640	115147271	92	81	0	2	9
ZIC1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	7297	ENSG00000152977	ZIC1	chr3	147409364	147409365	39	1	0	4	34
ZIC2	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	23524	ENSG00000043355	ZIC2	chr13	99981783	99981784	27	1	1	4	21
ZIC3	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	36246	ENSG00000156925	ZIC3	chrX	137566126	137566518	7	1	1	1	4
ZNF148	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	7051	ENSG00000163848	ZNF148	chr3	125375248	125375354	5	1	0	0	4
ZNF260	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	31934	ENSG00000254004	ZNF260	chr19	36525298	36528271	5	1	0	0	4
ZNF277	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	14116	ENSG00000198839	ZNF277	chr7	112206694	112206701	17	1	0	0	16
ZNF280D	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	25704	ENSG00000137871	ZNF280D	chr15	56733493	56734086	6	1	0	1	4
ZNF281	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	2717	ENSG00000162702	ZNF281	chr1	200409991	200410056	5	1	0	0	4
ZNF292	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	12282	ENSG00000188994	ZNF292	chr6	87152832	87155581	10	1	1	0	8
ZNF3	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	13947	ENSG00000166526	ZNF3	chr7	100079166	100081764	21	1	0	1	19
ZNF32	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	17922	ENSG00000169740	ZNF32	chr10	43648703	43648881	10	1	0	0	9
ZNF410	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	24520	ENSG00000119725	ZNF410	chr14	73886616	73902206	7	1	0	0	6
ZNF536	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	31765	ENSG00000198597	ZNF536	chr19	30372383	30372384	28	0	0	1	27
ZNF706	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	15757	ENSG00000120963	ZNF706	chr8	101204700	101206064	26	1	0	0	25
ZNF780A	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	32067	ENSG00000197782	ZNF780A	chr19	40090234	40090938	6	1	0	0	5
ZNF800	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	14220	ENSG00000048405	ZNF800	chr7	127392365	127392708	3	1	0	0	2
ZNF821	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	27729	ENSG00000102984	ZNF821	chr16	71883508	71884204	13	1	1	1	10
ZNF827	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	9013	ENSG00000151612	ZNF827	chr4	145938421	145938823	16	1	2	1	12
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558427	H628	True	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	30	1	1	1	27
ACTG1	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558427	H628	True	29977	ENSG00000184009	ACTG1	chr17	81512754	81512818	29	1	1	1	26
ASCL1	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558427	H628	True	22384	ENSG00000139352	ASCL1	chr12	102957673	102957674	10	0	1	5	4
ATOH1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	8643	ENSG00000172238	ATOH1	chr4	93828752	93828753	9	0	1	0	8
BARHL1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	GSM9558427	H628	True	17345	ENSG00000125492	BARHL1	chr9	132582605	132582659	19	1	1	3	14
BASP1	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	9566	ENSG00000176788	BASP1	chr5	17216822	17217631	20	1	0	3	16
BCL11B	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	2	GSM9558427	H628	True	24832	ENSG00000127152	BCL11B	chr14	99271484	99272197	12	1	1	2	8
BCL7A	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	GSM9558427	H628	True	22695	ENSG00000110987	BCL7A	chr12	122019421	122021886	18	1	0	2	15
BMP4	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	24270	ENSG00000125378	BMP4	chr14	53953454	53956825	8	2	0	3	3
BMPR1A	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	18330	ENSG00000107779	BMPR1A	chr10	86756649	86756650	14	1	0	0	13
C14ORF119	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	23944	ENSG00000179933	C14orf119	chr14	23095504	23095525	22	1	0	0	21
C16ORF87	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	27304	ENSG00000155330	C16orf87	chr16	46831161	46831180	17	1	0	0	16
C17ORF75	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	28812	ENSG00000108666	C17orf75	chr17	32342172	32342209	11	1	0	1	9
C1ORF174	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	147	ENSG00000198912	C1orf174	chr1	3900271	3900272	10	1	0	1	8
C1ORF21	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	2616	ENSG00000116667	C1orf21	chr1	184387028	184387029	13	1	1	0	11
C1QL3	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558427	H628	True	17709	ENSG00000165985	C1QL3	chr10	16521144	16521879	11	1	1	0	9
C5ORF34	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	9773	ENSG00000172244	C5orf34	chr5	43515147	43515148	7	1	0	0	6
C9ORF85	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	16681	ENSG00000155621	C9orf85	chr9	71911544	71911661	10	1	0	0	9
CACNA2D1	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558427	H628	True	13796	ENSG00000153956	CACNA2D1	chr7	82443714	82443777	5	1	0	1	3
CADM3	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	2260	ENSG00000162706	CADM3	chr1	159171608	159171615	25	1	1	7	16
CALB1	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558427	H628	True	15629	ENSG00000104327	CALB1	chr8	90081520	90082879	4	1	0	0	3
CALB2	developmental_origin_module	shared_postmitotic_granule_maturation	EpigenomicCompatibility	medium	False	1	GSM9558427	H628	True	27709	ENSG00000172137	CALB2	chr16	71358712	71358723	9	1	0	4	4
CALM1	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558427	H628	True	24700	ENSG00000198668	CALM1	chr14	90397028	90399082	33	2	1	3	27
CALM2	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558427	H628	True	3961	ENSG00000143933	CALM2	chr2	47175538	47176921	17	2	1	0	14
CAMK2A	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558427	H628	True	10798	ENSG00000070808	CAMK2A	chr5	150289737	150290291	14	1	0	0	13
CAMK2B	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558427	H628	True	13505	ENSG00000058404	CAMK2B	chr7	44325420	44325656	34	1	0	4	29
CFL1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558427	H628	True	20024	ENSG00000172757	CFL1	chr11	65856963	65861421	27	3	0	1	23
CNTN5	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558427	H628	True	20496	ENSG00000149972	CNTN5	chr11	99020948	99844808	3	3	0	0	0
DCC	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	30569	ENSG00000187323	DCC	chr18	52340196	52934772	19	19	0	0	0
DCX	developmental_origin_module;niche_circuit_module	shared_neurogenic_niche_state;shared_postmitotic_granule_maturation	EpigenomicCompatibility;NicheSignal	high	False	2	GSM9558427	H628	True	36051	ENSG00000077279	DCX	chrX	111410948	111412429	0	0	0	0	0
DKK3	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558427	H628	True	19266	ENSG00000050165	DKK3	chr11	12009081	12009769	33	1	1	0	31
DLL1	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	13004	ENSG00000198719	DLL1	chr6	170291077	170291078	18	1	2	2	13
DPYSL2	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558427	H628	True	15056	ENSG00000092964	DPYSL2	chr8	26514030	26578405	32	3	2	1	26
DPYSL3	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558427	H628	True	10748	ENSG00000113657	DPYSL3	chr5	147453958	147510068	8	2	0	1	5
DYNLL1	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	False	1	GSM9558427	H628	True	22647	ENSG00000088986	DYNLL1	chr12	120469849	120496113	22	4	1	1	16
EMX1	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	True	1	GSM9558427	H628	True	4193	ENSG00000135638	EMX1	chr2	72916259	72917519	18	2	1	2	13
EMX2	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558427	H628	True	18712	ENSG00000170370	EMX2	chr10	117542444	117542746	10	0	1	0	9
EN1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	4774	ENSG00000163064	EN1	chr2	118847677	118847678	2	0	0	1	1
EN2	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	14658	ENSG00000164778	EN2	chr7	155458128	155458129	43	0	1	5	37
EOMES	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558427	H628	True	6182	ENSG00000163508	EOMES	chr3	27722322	27722711	11	0	2	2	7
FGF8	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558427	H628	True	18556	ENSG00000107831	FGF8	chr10	101775958	101780369	16	1	1	1	13
FOXG1	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	True	1	GSM9558427	H628	True	24043	ENSG00000176165	FOXG1	chr14	28766786	28766787	0	0	0	0	0
FOXN2	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	GSM9558427	H628	True	3972	ENSG00000170802	FOXN2	chr2	48314681	48346217	36	9	0	4	23
GABRA2	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	highest	False	3	GSM9558427	H628	True	8267	ENSG00000151834	GABRA2	chr4	46388712	46475230	2	1	0	0	1
GABRB3	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	25253	ENSG00000166206	GABRB3	chr15	26629089	26939539	22	21	0	0	1
GAP43	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	6954	ENSG00000172020	GAP43	chr3	115623323	115623510	25	1	1	4	19
GBX2	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558427	H628	True	5828	ENSG00000168505	GBX2	chr2	236168008	236168386	8	1	0	3	4
GFAP	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	29250	ENSG00000131095	GFAP	chr17	44915485	44915500	18	0	1	2	15
GLI1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	3	GSM9558427	H628	True	21960	ENSG00000111087	GLI1	chr12	57459784	57460151	19	0	1	4	14
GLI2	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	4797	ENSG00000074047	GLI2	chr2	120792408	120797291	20	0	1	1	18
GLIS3	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558427	H628	True	16232	ENSG00000107249	GLIS3	chr9	4152146	4300068	18	5	0	0	13
GPM6A	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	highest	False	4	GSM9558427	H628	True	9242	ENSG00000150625	GPM6A	chr4	175787675	176002664	41	16	0	1	24
GRIN2B	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	21297	ENSG00000273079	GRIN2B	chr12	13980362	13980363	1	0	0	0	1
HES1	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558427	H628	True	7751	ENSG00000114315	HES1	chr3	194136147	194136148	5	0	2	1	2
HES5	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558427	H628	True	110	ENSG00000197921	HES5	chr1	2530262	2530263	24	1	1	2	20
HMGA2	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	False	1	GSM9558427	H628	True	22055	ENSG00000149948	HMGA2	chr12	65824130	65825123	3	0	0	0	3
HMGN2	developmental_origin_module	shared_postmitotic_granule_maturation	EpigenomicCompatibility	medium	False	1	GSM9558427	H628	True	601	ENSG00000198830	HMGN2	chr1	26472439	26472515	17	1	1	1	14
ID1	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	33252	ENSG00000125968	ID1	chr20	31605282	31605289	24	1	1	2	20
ID2	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	3513	ENSG00000115738	ID2	chr2	8678844	8682056	14	2	2	3	7
JAG1	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558427	H628	True	33043	ENSG00000101384	JAG1	chr20	10673998	10673999	5	1	0	1	3
KCND2	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558427	H628	True	14171	ENSG00000184408	KCND2	chr7	120273174	120273175	21	1	1	4	15
KCNJ3	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558427	H628	True	5024	ENSG00000162989	KCNJ3	chr2	154697854	154698695	23	1	1	3	18
KCNJ6	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558427	H628	True	34179	ENSG00000157542	KCNJ6	chr21	37916456	38121345	21	5	0	2	14
KCNK1	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	highest	False	3	GSM9558427	H628	True	3198	ENSG00000135750	KCNK1	chr1	233614105	233614106	40	1	2	2	35
KCNMB4	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558427	H628	True	22113	ENSG00000135643	KCNMB4	chr12	70366289	70366290	17	1	1	1	14
KIAA1143	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	6351	ENSG00000163807	KIAA1143	chr3	44761618	44761619	7	1	0	0	6
KIAA1328	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	True	30460	ENSG00000150477	KIAA1328	chr18	36829126	37066866	6	4	0	0	2
L1CAM	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558427	H628	True	36380	ENSG00000198910	L1CAM	chrX	153875846	153886173	40	2	1	3	34
LEF1	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558427	H628	True	8752	ENSG00000138795	LEF1	chr4	108166300	108168956	1	0	0	1	0
LHX2	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558427	H628	True	17160	ENSG00000106689	LHX2	chr9	124011767	124011768	4	1	0	0	3
MAP1B	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558427	H628	True	9979	ENSG00000131711	MAP1B	chr5	72107474	72107475	41	1	1	3	36
MAP3K13	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558427	H628	True	7657	ENSG00000073803	MAP3K13	chr3	185282940	185363136	12	4	0	0	8
MAPK14	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558427	H628	True	11849	ENSG00000112062	MAPK14	chr6	36027676	36028158	11	1	0	1	9
MAPKAP1	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	False	1	GSM9558427	H628	True	17186	ENSG00000119487	MAPKAP1	chr9	125672642	125707234	9	1	0	0	8
MEIS1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	4111	ENSG00000143995	MEIS1	chr2	66435124	66439321	27	2	1	6	18
MIR124-1HG	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558427	H628	False							0	0	0	0	0
MSI1	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	False	1	GSM9558427	H628	True	22641	ENSG00000135097	MSI1	chr12	120369163	120369164	17	1	0	1	15
MYCN	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558427	H628	True	3595	ENSG00000134323	MYCN	chr2	15940549	15940566	6	0	1	0	5
NCAM1	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558427	H628	True	20626	ENSG00000149294	NCAM1	chr11	112961246	112961480	8	1	0	0	7
NES	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	2	GSM9558427	H628	True	2203	ENSG00000132688	NES	chr1	156677406	156677407	29	1	1	2	25
NEUROD1	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage;shared_postmitotic_granule_maturation	EpigenomicCompatibility;FatePolarity	high	True	3	GSM9558427	H628	True	5262	ENSG00000162992	NEUROD1	chr2	181680875	181680876	28	1	1	7	19
NEUROD2	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	2	GSM9558427	H628	True	29003	ENSG00000171532	NEUROD2	chr17	39607919	39607920	19	1	2	3	13
NFIA	developmental_origin_module;manuscript_candidate_tier	Tier 1 core convergent program;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	highest	True	2	GSM9558427	H628	True	1200	ENSG00000162599	NFIA	chr1	60865258	61404076	91	86	0	1	4
