gene	gene_feature_row_1based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	n_distal_100kb	n_gene_body_overlap	n_gene_edge_2kb	n_proximal_10kb	n_peaks_total_100kb
RAB7A	7112	ENSG00000075785	RAB7A	chr3	128726121	128795359	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	17	4	0	3	24
RBFOX3	29914	ENSG00000167281	RBFOX3	chr17	79235804	79516148	developmental_origin_module	shared_postmitotic_granule_maturation	EpigenomicCompatibility	medium	False	1	11	10	0	0	21
SEMA7A	25987	ENSG00000138623	SEMA7A	chr15	74433703	74433958	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	14	1	0	2	17
TCF4	30584	ENSG00000196628	TCF4	chr18	55302625	55636027	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	10	39	0	0	49
TMEM178A	3884	ENSG00000152154	TMEM178A	chr2	39665916	39665967	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	19	1	0	1	21
TP53I11	19555	ENSG00000175274	TP53I11	chr11	44938334	44951306	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	8	2	1	1	12
TUBA1B	21657	ENSG00000123416	TUBA1B	chr12	49131394	49131395	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	21	1	1	1	24
TUBB	11644	ENSG00000196230	TUBB	chr6	30720351	30721699	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	14	2	0	2	18
ZNF148	7052	ENSG00000163848	ZNF148	chr3	125375248	125375354	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	6	1	0	1	8
ZNF260	31935	ENSG00000254004	ZNF260	chr19	36525298	36528271	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	5	1	0	0	6
ZNF277	14117	ENSG00000198839	ZNF277	chr7	112206694	112206701	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	17	1	0	1	19
ZNF280D	25705	ENSG00000137871	ZNF280D	chr15	56733493	56734086	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	6	1	0	0	7
ZNF281	2718	ENSG00000162702	ZNF281	chr1	200409991	200410056	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	8	1	0	1	10
ZNF292	12283	ENSG00000188994	ZNF292	chr6	87152832	87155581	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	8	1	1	1	11
ZNF3	13948	ENSG00000166526	ZNF3	chr7	100079166	100081764	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	20	2	0	1	23
ZNF32	17923	ENSG00000169740	ZNF32	chr10	43648703	43648881	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	9	1	0	0	10
ZNF410	24521	ENSG00000119725	ZNF410	chr14	73886616	73902206	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	10	2	0	0	12
ZNF536	31766	ENSG00000198597	ZNF536	chr19	30372383	30372384	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	16	1	1	2	20
ZNF706	15758	ENSG00000120963	ZNF706	chr8	101204700	101206064	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	20	1	0	1	22
ZNF780A	32068	ENSG00000197782	ZNF780A	chr19	40090234	40090938	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	8	1	0	1	10
ZNF800	14221	ENSG00000048405	ZNF800	chr7	127392365	127392708	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	6	1	0	0	7
ZNF821	27730	ENSG00000102984	ZNF821	chr16	71883508	71884204	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	12	1	0	0	13
ZNF827	9014	ENSG00000151612	ZNF827	chr4	145938421	145938823	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	9	1	1	0	11
