dataset	source_scope	axis_type	axis_label	candidate_call	broad_class	n_cells	median_axis_order	median_pseudotime	mean_pseudotime	root_fraction	median_proliferation_brdU_proxy	median_cell_cycle_exit_p21_p27	median_immature_progenitor_state	median_neuronal_differentiation_maturation	median_tgf_smad_pai1_response	median_bdnf_erk_response	median_apoptosis_execution	median_survival_neuroprotection	median_secreted_stop_candidate_axis	median_cerebellar_fate_rhombic_lip_shh	median_dentate_fate_wnt_prox1	median_shared_neurogenic_niche_state	median_downstream_neurite_morphology	median_downstream_synaptic_excitability	median_root_progenitor_immature	median_root_mature_granule
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG08	candidate_dentate_granule	dentate_candidate	60		0.48079708	0.4772809	0.0	0.4974359	0.47094017	0.4076923	0.5096866	0.5407407	0.45954415	0.46723646	0.4965812	0.63105416	0.4074074	0.4091168	0.31937322	0.4082621	0.6216524	0.28917378	0.5623932
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG08	dentate_like_low_support	dentate_low_support	41		0.5463589	0.5263799	0.0	0.45527065	0.55783474	0.24387464	0.411396	0.45925927	0.2980057	0.36752138	0.4866097	0.37378916	0.4074074	0.1994302	0.35726497	0.30940172	0.32934472	0.39088318	0.34472933
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG09	candidate_dentate_granule	dentate_candidate	37		0.5462331	0.55224055	0.0	0.66210824	0.408547	0.4051282	0.67749286	0.44216526	0.4883191	0.43931624	0.5948718	0.4991453	0.4074074	0.55783474	0.4051282	0.43988603	0.6837607	0.31623933	0.64387465
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG09	dentate_like_low_support	dentate_low_support	45		0.572954	0.5384962	0.022222222222222223	0.36467236	0.32535613	0.3242165	0.44615385	0.44045585	0.28319088	0.33190882	0.45925927	0.585755	0.4074074	0.2974359	0.44957265	0.31965813	0.45811966	0.4062678	0.36068377
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG10	candidate_dentate_granule	dentate_candidate	18		0.51832855	0.53057164	0.0	0.5150997	0.18361825	0.32678062	0.3937322	0.2980057	0.26467237	0.43418804	0.31851852	0.44700855	0.4074074	0.42393163	0.23960114	0.2897436	0.5974359	0.36581194	0.3980057
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG10	dentate_like_low_support	dentate_low_support	27		0.49395165	0.46641314	0.07407407407407407	0.27008548	0.27293447	0.4985755	0.10712251	0.3880342	0.13789174	0.56182337	0.15270655	0.21766382	0.4074074	0.23646724	0.41538462	0.17606838	0.18518518	0.4980057	0.122507125
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG11	candidate_dentate_granule	dentate_candidate	36		0.5137513	0.51264626	0.0	0.45213675	0.33589745	0.38433048	0.6296296	0.37948716	0.2880342	0.35726494	0.22678062	0.4068376	0.4074074	0.5823362	0.2917379	0.29743588	0.5196581	0.3128205	0.6450143
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG11	dentate_like_low_support	dentate_low_support	52		0.59275675	0.55276495	0.057692307692307696	0.28404558	0.44358975	0.31737894	0.34216523	0.47407407	0.22564103	0.12962963	0.38148147	0.47065526	0.4074074	0.25641024	0.480057	0.21766382	0.33817664	0.34558403	0.24643874
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG12	candidate_dentate_granule	dentate_candidate	35		0.5092621	0.50565076	0.0	0.53162396	0.45811966	0.37378916	0.63532764	0.4108262	0.38176638	0.3846154	0.4079772	0.33561254	0.4074074	0.67578346	0.45527065	0.36923078	0.65185183	0.25698006	0.6820513
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG12	dentate_like_low_support	dentate_low_support	24		0.52444434	0.4435079	0.08333333333333333	0.6031339	0.33190882	0.26723647	0.25042737	0.4153846	0.28404558	0.5586895	0.40284902	0.2777778	0.4074074	0.20683761	0.25384617	0.19401708	0.35128206	0.3299145	0.30085468
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG13	candidate_dentate_granule	dentate_candidate	27		0.47955656	0.50254637	0.0	0.45925927	0.4	0.3088319	0.54245013	0.42735043	0.5207977	0.3880342	0.45470086	0.38005698	0.4074074	0.405698	0.2911681	0.38176638	0.7076923	0.35270655	0.5185185
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG13	dentate_like_low_support	dentate_low_support	34		0.52384704	0.44033283	0.058823529411764705	0.26011395	0.4780627	0.34643877	0.3022792	0.43076923	0.32364672	0.37521368	0.297151	0.3837607	0.4074074	0.14102565	0.4091168	0.17521368	0.22849002	0.32905984	0.30541313
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG14	candidate_dentate_granule	dentate_candidate	30		0.47554016	0.4802441	0.0	0.42450142	0.34358972	0.27236468	0.6786325	0.34301996	0.57350427	0.4088319	0.6133903	0.48119658	0.4074074	0.5119658	0.34188032	0.35014245	0.5954416	0.27150998	0.62735045
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG14	dentate_like_low_support	dentate_low_support	18		0.535926	0.49777249	0.05555555555555555	0.54415953	0.6099715	0.31025642	0.39487177	0.46695155	0.31908834	0.5336182	0.36951566	0.2786325	0.4074074	0.17777778	0.36182335	0.23532765	0.35156697	0.5150997	0.24928775
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG15	candidate_dentate_granule	dentate_candidate	51		0.52847207	0.5253113	0.0	0.47578347	0.44786325	0.41025642	0.4011396	0.49458688	0.47122508	0.32934472	0.56638175	0.568661	0.4074074	0.54586893	0.38518518	0.4131054	0.7014245	0.35384616	0.4780627
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG15	dentate_like_low_support	dentate_low_support	55		0.58735543	0.5378695	0.01818181818181818	0.3903134	0.3133903	0.3190883	0.24900284	0.5071225	0.38689458	0.12962963	0.26951566	0.4974359	0.4074074	0.3014245	0.32820514	0.19202279	0.39430198	0.38404557	0.2951567
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG16	candidate_dentate_granule	dentate_candidate	12		0.6426043	0.625561	0.0	0.7182336	0.37834758	0.37065527	0.5820513	0.4931624	0.63532764	0.12962963	0.27008545	0.47407407	0.4074074	0.5438746	0.21424502	0.6264957	0.7384615	0.21851853	0.6250712
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG16	dentate_like_low_support	dentate_low_support	31		0.64774185	0.59553504	0.0	0.2871795	0.48433048	0.4780627	0.32136753	0.34301993	0.37378916	0.12962963	0.33105412	0.37150997	0.4074074	0.43931624	0.18005697	0.44900286	0.36752138	0.26666668	0.35441595
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG17	candidate_dentate_granule	dentate_candidate	40		0.6406396	0.6360102	0.0	0.52962965	0.45698005	0.27720797	0.5638176	0.5270655	0.40512818	0.47407407	0.41111112	0.4868946	0.4074074	0.36752135	0.35242164	0.33219373	0.51595443	0.34558403	0.59829056
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG17	dentate_like_low_support	dentate_low_support	58		0.67336345	0.63544214	0.05172413793103448	0.30199432	0.5592593	0.28831908	0.4019943	0.45584047	0.24786326	0.46752137	0.2814815	0.31851852	0.4074074	0.12678063	0.2851852	0.18091168	0.39829057	0.3094017	0.56438744
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG18	dentate_like_low_support	dentate_low_support	25		3.5683408e-07	0.14040639	0.56	0.6849003	0.7287749	0.92877495	0.04786325	0.9156695	0.5794872	0.12962963	0.7065527	0.057264958	0.4074074	0.15213676	0.9464387	0.046723645	0.04957265	0.9447293	0.054700855
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG19	candidate_dentate_granule	dentate_candidate	2		0.17125651	0.17125651	0.5	0.9709402	0.4619658	0.9464388	0.14444444	0.55099714	0.74957263	0.5423077	0.7407407	0.49074075	0.4074074	0.38774928	0.8752137	0.24586895	0.08945869	0.9347578	0.44387466
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG19	dentate_like_low_support	dentate_low_support	32		3.5683408e-07	0.120210476	0.6875	0.85783476	0.7786325	0.9564103	0.04957265	0.72336185	0.42336184	0.20470086	0.66438746	0.50484335	0.93190885	0.5774929	0.9492878	0.07920228	0.03076923	0.95726496	0.056410257
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG20	candidate_dentate_granule	dentate_candidate	51		0.44268626	0.445951	0.0	0.64216524	0.557265	0.8045584	0.53105414	0.51794875	0.7156695	0.68603987	0.5954416	0.6364672	0.4074074	0.7042735	0.7908832	0.8786325	0.36125356	0.82393163	0.4974359
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG20	dentate_like_low_support	dentate_low_support	63		0.49216065	0.44483668	0.12698412698412698	0.4980057	0.6364672	0.7908832	0.28660968	0.6797721	0.5555556	0.8210826	0.64216524	0.4985755	0.4074074	0.3019943	0.8569801	0.8888889	0.13789174	0.8051282	0.20911682
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG21	candidate_dentate_granule	dentate_candidate	67		0.50093776	0.51495516	0.0	0.48091167	0.6717949	0.6051282	0.74301994	0.4096866	0.8353276	0.67578346	0.5806268	0.5589744	0.4074074	0.7207977	0.5760684	0.8	0.631339	0.6495727	0.6096866
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG21	dentate_like_low_support	dentate_low_support	36		0.33560923	0.35355076	0.19444444444444445	0.33675212	0.40113962	0.857265	0.15498576	0.5934473	0.45470086	0.6390313	0.31595442	0.3165242	0.4074074	0.37749287	0.7997151	0.68717945	0.14216524	0.79914534	0.14159545
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG22	candidate_dentate_granule	dentate_candidate	81		0.5011739	0.4970613	0.0	0.7310541	0.60854703	0.6866097	0.75213677	0.44102564	0.8136752	0.6934473	0.7202279	0.6381766	0.4074074	0.74985754	0.6717949	0.84444445	0.5236467	0.6945869	0.6957265
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG22	dentate_like_low_support	dentate_low_support	29		0.48299134	0.4116502	0.1724137931034483	0.65014243	0.5373219	0.85982907	0.21253562	0.6803419	0.64729345	0.77492875	0.7116809	0.3846154	0.4074074	0.5720798	0.85925925	0.7925926	0.2005698	0.8945869	0.19202279
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG23	candidate_dentate_granule	dentate_candidate	51		0.51627064	0.49801487	0.0	0.5737892	0.54757833	0.6957265	0.8153846	0.5504274	0.6752137	0.7037037	0.55498576	0.50769234	0.4074074	0.7988604	0.7076923	0.8039886	0.6547009	0.7071225	0.7122507
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG23	dentate_like_low_support	dentate_low_support	31		0.53515184	0.469474	0.16129032258064516	0.36980057	0.5868946	0.7458689	0.25811967	0.6091168	0.5031339	0.614245	0.6125356	0.47122508	0.4074074	0.6803419	0.8188034	0.77663815	0.19544159	0.7327635	0.24786325
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG24	candidate_dentate_granule	dentate_candidate	82		0.505478	0.5029974	0.0	0.54643875	0.73361826	0.65584046	0.8054131	0.5421653	0.85213673	0.53162396	0.6048433	0.5267806	0.4074074	0.8139601	0.5333333	0.7675214	0.7860398	0.63361824	0.8096866
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG24	dentate_like_low_support	dentate_low_support	40		0.5638294	0.5298624	0.1	0.47948718	0.61880344	0.85270655	0.35555553	0.50911677	0.67151	0.6230769	0.66951567	0.3803419	0.4074074	0.44615385	0.7472935	0.7387464	0.21509972	0.8384615	0.31538463
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG25	candidate_dentate_granule	dentate_candidate	70		0.5265624	0.5271648	0.0	0.61196584	0.58518517	0.5037037	0.8350427	0.53760684	0.7527065	0.6259259	0.61367524	0.6396011	0.4074074	0.6897436	0.5729345	0.74786323	0.86809117	0.5960114	0.77692306
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG25	dentate_like_low_support	dentate_low_support	8		0.5786114	0.59168756	0.0	0.18846154	0.64102566	0.8438747	0.25242165	0.4783476	0.4002849	0.43789172	0.6780627	0.6945869	0.4074074	0.6054131	0.77321935	0.65754986	0.6632479	0.5928775	0.3840456
