feature_row_1based	feature_id	feature_name	feature_type	feature_chrom	feature_start	feature_end	linked_gene	best_priority	model_terms_supported	target_sets	peak_category	selection_reason
66435	chr12:78897233-78898030	chr12:78897233-78898030	Peaks	chr12	78897233	78898030	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66436	chr12:78898219-78899060	chr12:78898219-78899060	Peaks	chr12	78898219	78899060	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66437	chr12:78910866-78911785	chr12:78910866-78911785	Peaks	chr12	78910866	78911785	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66438	chr12:78916718-78917589	chr12:78916718-78917589	Peaks	chr12	78916718	78917589	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66439	chr12:78918022-78918937	chr12:78918022-78918937	Peaks	chr12	78918022	78918937	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66440	chr12:78931406-78932277	chr12:78931406-78932277	Peaks	chr12	78931406	78932277	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66441	chr12:78938251-78939077	chr12:78938251-78939077	Peaks	chr12	78938251	78939077	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66442	chr12:78951770-78952593	chr12:78951770-78952593	Peaks	chr12	78951770	78952593	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66443	chr12:79011777-79012445	chr12:79011777-79012445	Peaks	chr12	79011777	79012445	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66444	chr12:79045139-79045999	chr12:79045139-79045999	Peaks	chr12	79045139	79045999	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	gene_body_overlap	high_priority_promoter_gene_peak
66445	chr12:79055880-79056811	chr12:79055880-79056811	Peaks	chr12	79055880	79056811	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	distal_100kb	distal_context_peak
66446	chr12:79080930-79081670	chr12:79080930-79081670	Peaks	chr12	79080930	79081670	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	distal_100kb	distal_context_peak
66447	chr12:79108757-79109630	chr12:79108757-79109630	Peaks	chr12	79108757	79109630	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	distal_100kb	distal_context_peak
66448	chr12:79121142-79121950	chr12:79121142-79121950	Peaks	chr12	79121142	79121950	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	distal_100kb	distal_context_peak
66449	chr12:79126881-79127686	chr12:79126881-79127686	Peaks	chr12	79126881	79127686	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	distal_100kb	distal_context_peak
66450	chr12:79144055-79144858	chr12:79144055-79144858	Peaks	chr12	79144055	79144858	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	distal_100kb	distal_context_peak
67435	chr12:102874537-102875425	chr12:102874537-102875425	Peaks	chr12	102874537	102875425	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67436	chr12:102878890-102879774	chr12:102878890-102879774	Peaks	chr12	102878890	102879774	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67437	chr12:102882992-102883867	chr12:102882992-102883867	Peaks	chr12	102882992	102883867	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67438	chr12:102891579-102892310	chr12:102891579-102892310	Peaks	chr12	102891579	102892310	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67439	chr12:102917011-102917883	chr12:102917011-102917883	Peaks	chr12	102917011	102917883	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67440	chr12:102950183-102950987	chr12:102950183-102950987	Peaks	chr12	102950183	102950987	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	proximal_10kb	proximal_peak
67441	chr12:102955995-102956856	chr12:102955995-102956856	Peaks	chr12	102955995	102956856	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	gene_edge_2kb	high_priority_promoter_gene_peak
67442	chr12:102957378-102958048	chr12:102957378-102958048	Peaks	chr12	102957378	102958048	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	gene_body_overlap	high_priority_promoter_gene_peak
67443	chr12:102958182-102958984	chr12:102958182-102958984	Peaks	chr12	102958182	102958984	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	gene_edge_2kb	high_priority_promoter_gene_peak
67444	chr12:102960765-102961556	chr12:102960765-102961556	Peaks	chr12	102960765	102961556	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	proximal_10kb	proximal_peak
67445	chr12:102961775-102962556	chr12:102961775-102962556	Peaks	chr12	102961775	102962556	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	proximal_10kb	proximal_peak
67446	chr12:102965095-102965875	chr12:102965095-102965875	Peaks	chr12	102965095	102965875	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	proximal_10kb	proximal_peak
67447	chr12:102966368-102967137	chr12:102966368-102967137	Peaks	chr12	102966368	102967137	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	proximal_10kb	proximal_peak
67448	chr12:102990310-102991188	chr12:102990310-102991188	Peaks	chr12	102990310	102991188	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67449	chr12:103012741-103013545	chr12:103012741-103013545	Peaks	chr12	103012741	103013545	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67450	chr12:103013701-103014393	chr12:103013701-103014393	Peaks	chr12	103013701	103014393	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67451	chr12:103026688-103027414	chr12:103026688-103027414	Peaks	chr12	103026688	103027414	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
67452	chr12:103043618-103044379	chr12:103043618-103044379	Peaks	chr12	103043618	103044379	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	distal_100kb	distal_context_peak
68427	chr12:120278070-120278856	chr12:120278070-120278856	Peaks	chr12	120278070	120278856	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68428	chr12:120291554-120292435	chr12:120291554-120292435	Peaks	chr12	120291554	120292435	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68429	chr12:120292937-120293699	chr12:120292937-120293699	Peaks	chr12	120292937	120293699	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68430	chr12:120301849-120302772	chr12:120301849-120302772	Peaks	chr12	120301849	120302772	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68431	chr12:120317149-120318055	chr12:120317149-120318055	Peaks	chr12	120317149	120318055	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68432	chr12:120325293-120326185	chr12:120325293-120326185	Peaks	chr12	120325293	120326185	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68433	chr12:120350715-120351558	chr12:120350715-120351558	Peaks	chr12	120350715	120351558	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68434	chr12:120356342-120357244	chr12:120356342-120357244	Peaks	chr12	120356342	120357244	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68435	chr12:120361363-120362266	chr12:120361363-120362266	Peaks	chr12	120361363	120362266	MSI1	medium_high	FatePolarity	deep_neural_progenitor	proximal_10kb	proximal_peak
68436	chr12:120365864-120366680	chr12:120365864-120366680	Peaks	chr12	120365864	120366680	MSI1	medium_high	FatePolarity	deep_neural_progenitor	proximal_10kb	proximal_peak
68437	chr12:120368746-120369622	chr12:120368746-120369622	Peaks	chr12	120368746	120369622	MSI1	medium_high	FatePolarity	deep_neural_progenitor	gene_body_overlap	gene_body_peak
68438	chr12:120388626-120389579	chr12:120388626-120389579	Peaks	chr12	120388626	120389579	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68438	chr12:120388626-120389579	chr12:120388626-120389579	Peaks	chr12	120388626	120389579	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68439	chr12:120394243-120395141	chr12:120394243-120395141	Peaks	chr12	120394243	120395141	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68439	chr12:120394243-120395141	chr12:120394243-120395141	Peaks	chr12	120394243	120395141	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68440	chr12:120397536-120398418	chr12:120397536-120398418	Peaks	chr12	120397536	120398418	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68440	chr12:120397536-120398418	chr12:120397536-120398418	Peaks	chr12	120397536	120398418	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68441	chr12:120401959-120402834	chr12:120401959-120402834	Peaks	chr12	120401959	120402834	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68441	chr12:120401959-120402834	chr12:120401959-120402834	Peaks	chr12	120401959	120402834	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68442	chr12:120413680-120414609	chr12:120413680-120414609	Peaks	chr12	120413680	120414609	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68442	chr12:120413680-120414609	chr12:120413680-120414609	Peaks	chr12	120413680	120414609	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68443	chr12:120430219-120431061	chr12:120430219-120431061	Peaks	chr12	120430219	120431061	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68443	chr12:120430219-120431061	chr12:120430219-120431061	Peaks	chr12	120430219	120431061	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68444	chr12:120437591-120438518	chr12:120437591-120438518	Peaks	chr12	120437591	120438518	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68444	chr12:120437591-120438518	chr12:120437591-120438518	Peaks	chr12	120437591	120438518	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68445	chr12:120445991-120446917	chr12:120445991-120446917	Peaks	chr12	120445991	120446917	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68445	chr12:120445991-120446917	chr12:120445991-120446917	Peaks	chr12	120445991	120446917	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68446	chr12:120466331-120467199	chr12:120466331-120467199	Peaks	chr12	120466331	120467199	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	proximal_10kb	proximal_peak
68446	chr12:120466331-120467199	chr12:120466331-120467199	Peaks	chr12	120466331	120467199	MSI1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
68447	chr12:120469364-120470249	chr12:120469364-120470249	Peaks	chr12	120469364	120470249	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_body_overlap	gene_body_peak
68448	chr12:120474320-120475023	chr12:120474320-120475023	Peaks	chr12	120474320	120475023	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_body_overlap	gene_body_peak
68449	chr12:120479945-120480596	chr12:120479945-120480596	Peaks	chr12	120479945	120480596	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_body_overlap	gene_body_peak
68450	chr12:120487759-120488585	chr12:120487759-120488585	Peaks	chr12	120487759	120488585	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_body_overlap	gene_body_peak
68451	chr12:120490861-120491785	chr12:120490861-120491785	Peaks	chr12	120490861	120491785	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_body_overlap	gene_body_peak
68452	chr12:120495641-120496491	chr12:120495641-120496491	Peaks	chr12	120495641	120496491	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_body_overlap	gene_body_peak
68453	chr12:120496758-120497359	chr12:120496758-120497359	Peaks	chr12	120496758	120497359	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_edge_2kb	gene_edge_peak
68454	chr12:120513774-120514681	chr12:120513774-120514681	Peaks	chr12	120513774	120514681	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68455	chr12:120515315-120516181	chr12:120515315-120516181	Peaks	chr12	120515315	120516181	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68456	chr12:120528669-120529583	chr12:120528669-120529583	Peaks	chr12	120528669	120529583	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68457	chr12:120534062-120534930	chr12:120534062-120534930	Peaks	chr12	120534062	120534930	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68458	chr12:120554326-120555184	chr12:120554326-120555184	Peaks	chr12	120554326	120555184	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68459	chr12:120580999-120581914	chr12:120580999-120581914	Peaks	chr12	120580999	120581914	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68460	chr12:120583107-120583886	chr12:120583107-120583886	Peaks	chr12	120583107	120583886	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68461	chr12:120584291-120585135	chr12:120584291-120585135	Peaks	chr12	120584291	120585135	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68462	chr12:120588778-120589654	chr12:120588778-120589654	Peaks	chr12	120588778	120589654	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	distal_context_peak
68577	chr12:121955570-121956460	chr12:121955570-121956460	Peaks	chr12	121955570	121956460	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68578	chr12:121970671-121971576	chr12:121970671-121971576	Peaks	chr12	121970671	121971576	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68579	chr12:121991911-121992786	chr12:121991911-121992786	Peaks	chr12	121991911	121992786	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68580	chr12:122001308-122002210	chr12:122001308-122002210	Peaks	chr12	122001308	122002210	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68581	chr12:122021518-122022332	chr12:122021518-122022332	Peaks	chr12	122021518	122022332	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_body_overlap	gene_body_peak
68582	chr12:122028184-122029043	chr12:122028184-122029043	Peaks	chr12	122028184	122029043	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	proximal_10kb	proximal_peak
68583	chr12:122032349-122033128	chr12:122032349-122033128	Peaks	chr12	122032349	122033128	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68584	chr12:122034913-122035754	chr12:122034913-122035754	Peaks	chr12	122034913	122035754	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68585	chr12:122054137-122054995	chr12:122054137-122054995	Peaks	chr12	122054137	122054995	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68586	chr12:122062713-122063561	chr12:122062713-122063561	Peaks	chr12	122062713	122063561	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68587	chr12:122063783-122064578	chr12:122063783-122064578	Peaks	chr12	122063783	122064578	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68588	chr12:122072159-122073068	chr12:122072159-122073068	Peaks	chr12	122072159	122073068	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68589	chr12:122078177-122079109	chr12:122078177-122079109	Peaks	chr12	122078177	122079109	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68590	chr12:122096351-122097216	chr12:122096351-122097216	Peaks	chr12	122096351	122097216	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68591	chr12:122098031-122098892	chr12:122098031-122098892	Peaks	chr12	122098031	122098892	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
68592	chr12:122116798-122117621	chr12:122116798-122117621	Peaks	chr12	122116798	122117621	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	distal_context_peak
73023	chr13:99892179-99892950	chr13:99892179-99892950	Peaks	chr13	99892179	99892950	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73024	chr13:99895801-99896695	chr13:99895801-99896695	Peaks	chr13	99895801	99896695	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73025	chr13:99900624-99901418	chr13:99900624-99901418	Peaks	chr13	99900624	99901418	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73026	chr13:99904919-99905680	chr13:99904919-99905680	Peaks	chr13	99904919	99905680	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73027	chr13:99913104-99914066	chr13:99913104-99914066	Peaks	chr13	99913104	99914066	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73028	chr13:99916276-99917107	chr13:99916276-99917107	Peaks	chr13	99916276	99917107	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73029	chr13:99926129-99927003	chr13:99926129-99927003	Peaks	chr13	99926129	99927003	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73030	chr13:99940190-99941110	chr13:99940190-99941110	Peaks	chr13	99940190	99941110	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73031	chr13:99949381-99950252	chr13:99949381-99950252	Peaks	chr13	99949381	99950252	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73032	chr13:99952825-99953772	chr13:99952825-99953772	Peaks	chr13	99952825	99953772	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73033	chr13:99956961-99957824	chr13:99956961-99957824	Peaks	chr13	99956961	99957824	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73034	chr13:99958722-99959321	chr13:99958722-99959321	Peaks	chr13	99958722	99959321	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73035	chr13:99959480-99960286	chr13:99959480-99960286	Peaks	chr13	99959480	99960286	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73036	chr13:99960943-99961444	chr13:99960943-99961444	Peaks	chr13	99960943	99961444	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73037	chr13:99961552-99962102	chr13:99961552-99962102	Peaks	chr13	99961552	99962102	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73038	chr13:99965276-99966119	chr13:99965276-99966119	Peaks	chr13	99965276	99966119	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73039	chr13:99967826-99968759	chr13:99967826-99968759	Peaks	chr13	99967826	99968759	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73040	chr13:99971680-99972104	chr13:99971680-99972104	Peaks	chr13	99971680	99972104	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	proximal_10kb	proximal_peak
73041	chr13:99974634-99975358	chr13:99974634-99975358	Peaks	chr13	99974634	99975358	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	proximal_10kb	proximal_peak
73042	chr13:99975495-99976247	chr13:99975495-99976247	Peaks	chr13	99975495	99976247	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	proximal_10kb	proximal_peak
73043	chr13:99980164-99981059	chr13:99980164-99981059	Peaks	chr13	99980164	99981059	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	gene_edge_2kb	high_priority_promoter_gene_peak
73044	chr13:99981280-99982104	chr13:99981280-99982104	Peaks	chr13	99981280	99982104	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	gene_body_overlap	high_priority_promoter_gene_peak
73045	chr13:99984823-99985676	chr13:99984823-99985676	Peaks	chr13	99984823	99985676	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	proximal_10kb	proximal_peak
73046	chr13:99991371-99992213	chr13:99991371-99992213	Peaks	chr13	99991371	99992213	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	proximal_10kb	proximal_peak
73047	chr13:99997082-99997824	chr13:99997082-99997824	Peaks	chr13	99997082	99997824	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	distal_100kb	distal_context_peak
73654	chr13:111967162-111968004	chr13:111967162-111968004	Peaks	chr13	111967162	111968004	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73655	chr13:111973867-111974742	chr13:111973867-111974742	Peaks	chr13	111973867	111974742	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73656	chr13:111978341-111979181	chr13:111978341-111979181	Peaks	chr13	111978341	111979181	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73657	chr13:112010520-112011385	chr13:112010520-112011385	Peaks	chr13	112010520	112011385	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73658	chr13:112015935-112016222	chr13:112015935-112016222	Peaks	chr13	112015935	112016222	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73659	chr13:112053578-112054387	chr13:112053578-112054387	Peaks	chr13	112053578	112054387	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73660	chr13:112062613-112063500	chr13:112062613-112063500	Peaks	chr13	112062613	112063500	SOX1	medium_high	FatePolarity	deep_neural_progenitor	proximal_10kb	proximal_peak
73661	chr13:112066413-112067302	chr13:112066413-112067302	Peaks	chr13	112066413	112067302	SOX1	medium_high	FatePolarity	deep_neural_progenitor	gene_body_overlap	gene_body_peak
73662	chr13:112072229-112073152	chr13:112072229-112073152	Peaks	chr13	112072229	112073152	SOX1	medium_high	FatePolarity	deep_neural_progenitor	proximal_10kb	proximal_peak
73663	chr13:112073323-112074033	chr13:112073323-112074033	Peaks	chr13	112073323	112074033	SOX1	medium_high	FatePolarity	deep_neural_progenitor	proximal_10kb	proximal_peak
73664	chr13:112077855-112078686	chr13:112077855-112078686	Peaks	chr13	112077855	112078686	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73665	chr13:112106287-112107161	chr13:112106287-112107161	Peaks	chr13	112106287	112107161	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73666	chr13:112146095-112146937	chr13:112146095-112146937	Peaks	chr13	112146095	112146937	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73667	chr13:112149564-112150158	chr13:112149564-112150158	Peaks	chr13	112149564	112150158	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73668	chr13:112150263-112150694	chr13:112150263-112150694	Peaks	chr13	112150263	112150694	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73669	chr13:112151313-112152205	chr13:112151313-112152205	Peaks	chr13	112151313	112152205	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
73670	chr13:112158927-112159559	chr13:112158927-112159559	Peaks	chr13	112158927	112159559	SOX1	medium_high	FatePolarity	deep_neural_progenitor	distal_100kb	distal_context_peak
