sample_accession	donor_id	feature_index_0based	feature_id	feature_name	gene	feature_chrom	feature_start	feature_end	best_priority	model_terms_supported	target_sets	feature_type	linked_gene	peak_category	selection_reason
GSM9558423	H187	135213	chr7:132580424-132581330	chr7:132580424-132581330	PLXNA4	chr7	132580424	132581330	high	ConstructionBalance	downstream_neurite_morphology	Peaks	PLXNA4	gene_body_overlap	high_priority_promoter_gene_peak
GSM9558423	H187	135214	chr7:132609577-132610502	chr7:132609577-132610502	PLXNA4	chr7	132609577	132610502	high	ConstructionBalance	downstream_neurite_morphology	Peaks	PLXNA4	gene_body_overlap	high_priority_promoter_gene_peak
GSM9558423	H187	135215	chr7:132699964-132700864	chr7:132699964-132700864	PLXNA4	chr7	132699964	132700864	high	ConstructionBalance	downstream_neurite_morphology	Peaks	PLXNA4	distal_100kb	distal_context_peak
GSM9558423	H187	135216	chr7:132711075-132712002	chr7:132711075-132712002	PLXNA4	chr7	132711075	132712002	high	ConstructionBalance	downstream_neurite_morphology	Peaks	PLXNA4	distal_100kb	distal_context_peak
GSM9558423	H187	135217	chr7:132739546-132739921	chr7:132739546-132739921	PLXNA4	chr7	132739546	132739921	high	ConstructionBalance	downstream_neurite_morphology	Peaks	PLXNA4	distal_100kb	distal_context_peak
GSM9558423	H187	135218	chr7:132740025-132740624	chr7:132740025-132740624	PLXNA4	chr7	132740025	132740624	high	ConstructionBalance	downstream_neurite_morphology	Peaks	PLXNA4	distal_100kb	distal_context_peak
GSM9558423	H187	134844	chr7:124856044-124856963	chr7:124856044-124856963	POT1	chr7	124856044	124856963	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	POT1	distal_100kb	distal_context_peak
GSM9558423	H187	134845	chr7:124857446-124858262	chr7:124857446-124858262	POT1	chr7	124857446	124858262	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	POT1	distal_100kb	distal_context_peak
GSM9558423	H187	134846	chr7:124929484-124930355	chr7:124929484-124930355	POT1	chr7	124929484	124930355	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	POT1	gene_body_overlap	gene_body_peak
GSM9558423	H187	134847	chr7:124931192-124931924	chr7:124931192-124931924	POT1	chr7	124931192	124931924	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	POT1	gene_edge_2kb	gene_edge_peak
GSM9558423	H187	115096	chr4:101251267-101252201	chr4:101251267-101252201	PPP3CA	chr4	101251267	101252201	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115097	chr4:101256058-101256964	chr4:101256058-101256964	PPP3CA	chr4	101256058	101256964	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115098	chr4:101262522-101263338	chr4:101262522-101263338	PPP3CA	chr4	101262522	101263338	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115099	chr4:101279194-101280094	chr4:101279194-101280094	PPP3CA	chr4	101279194	101280094	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115100	chr4:101285768-101286658	chr4:101285768-101286658	PPP3CA	chr4	101285768	101286658	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115101	chr4:101290933-101291780	chr4:101290933-101291780	PPP3CA	chr4	101290933	101291780	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115102	chr4:101300142-101300935	chr4:101300142-101300935	PPP3CA	chr4	101300142	101300935	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115103	chr4:101305757-101306597	chr4:101305757-101306597	PPP3CA	chr4	101305757	101306597	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115104	chr4:101306897-101307807	chr4:101306897-101307807	PPP3CA	chr4	101306897	101307807	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115105	chr4:101312811-101313687	chr4:101312811-101313687	PPP3CA	chr4	101312811	101313687	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115106	chr4:101316704-101317569	chr4:101316704-101317569	PPP3CA	chr4	101316704	101317569	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115107	chr4:101320315-101321143	chr4:101320315-101321143	PPP3CA	chr4	101320315	101321143	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115108	chr4:101321440-101322268	chr4:101321440-101322268	PPP3CA	chr4	101321440	101322268	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115109	chr4:101342672-101343609	chr4:101342672-101343609	PPP3CA	chr4	101342672	101343609	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	proximal_10kb	proximal_peak
GSM9558423	H187	115110	chr4:101345309-101346232	chr4:101345309-101346232	PPP3CA	chr4	101345309	101346232	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	gene_edge_2kb	high_priority_promoter_gene_peak
GSM9558423	H187	115111	chr4:101347283-101348140	chr4:101347283-101348140	PPP3CA	chr4	101347283	101348140	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	gene_body_overlap	high_priority_promoter_gene_peak
GSM9558423	H187	115112	chr4:101349215-101350004	chr4:101349215-101350004	PPP3CA	chr4	101349215	101350004	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	gene_edge_2kb	high_priority_promoter_gene_peak
GSM9558423	H187	115113	chr4:101415776-101416661	chr4:101415776-101416661	PPP3CA	chr4	101415776	101416661	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115114	chr4:101419405-101420165	chr4:101419405-101420165	PPP3CA	chr4	101419405	101420165	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	115115	chr4:101441221-101442137	chr4:101441221-101442137	PPP3CA	chr4	101441221	101442137	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Peaks	PPP3CA	distal_100kb	distal_context_peak
GSM9558423	H187	113045	chr4:15989107-15989965	chr4:15989107-15989965	PROM1	chr4	15989107	15989965	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	113046	chr4:16001126-16002020	chr4:16001126-16002020	PROM1	chr4	16001126	16002020	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	113047	chr4:16025918-16026793	chr4:16025918-16026793	PROM1	chr4	16025918	16026793	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	113048	chr4:16056614-16057456	chr4:16056614-16057456	PROM1	chr4	16056614	16057456	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	113049	chr4:16067082-16068098	chr4:16067082-16068098	PROM1	chr4	16067082	16068098	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	proximal_10kb	proximal_peak
GSM9558423	H187	113050	chr4:16082422-16083335	chr4:16082422-16083335	PROM1	chr4	16082422	16083335	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	gene_body_overlap	gene_body_peak
GSM9558423	H187	113051	chr4:16117975-16118818	chr4:16117975-16118818	PROM1	chr4	16117975	16118818	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	113052	chr4:16123193-16124006	chr4:16123193-16124006	PROM1	chr4	16123193	16124006	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	113053	chr4:16124155-16124646	chr4:16124155-16124646	PROM1	chr4	16124155	16124646	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	113054	chr4:16126396-16127068	chr4:16126396-16127068	PROM1	chr4	16126396	16127068	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	113055	chr4:16155657-16156606	chr4:16155657-16156606	PROM1	chr4	16155657	16156606	medium_high	FatePolarity	deep_neural_progenitor	Peaks	PROM1	distal_100kb	distal_context_peak
GSM9558423	H187	45335	chr1:213905127-213905967	chr1:213905127-213905967	PROX1	chr1	213905127	213905967	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	distal_100kb	distal_context_peak
GSM9558423	H187	45336	chr1:213918443-213919302	chr1:213918443-213919302	PROX1	chr1	213918443	213919302	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	distal_100kb	distal_context_peak
GSM9558423	H187	45337	chr1:213931737-213932474	chr1:213931737-213932474	PROX1	chr1	213931737	213932474	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	distal_100kb	distal_context_peak
GSM9558423	H187	45338	chr1:213934378-213935263	chr1:213934378-213935263	PROX1	chr1	213934378	213935263	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	distal_100kb	distal_context_peak
GSM9558423	H187	45339	chr1:213953723-213954721	chr1:213953723-213954721	PROX1	chr1	213953723	213954721	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	distal_100kb	distal_context_peak
GSM9558423	H187	45340	chr1:213982578-213983455	chr1:213982578-213983455	PROX1	chr1	213982578	213983455	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	proximal_10kb	proximal_peak
GSM9558423	H187	45341	chr1:213983594-213984378	chr1:213983594-213984378	PROX1	chr1	213983594	213984378	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	proximal_10kb	proximal_peak
GSM9558423	H187	45342	chr1:213987521-213988370	chr1:213987521-213988370	PROX1	chr1	213987521	213988370	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	gene_body_overlap	high_priority_promoter_gene_peak
GSM9558423	H187	45343	chr1:213990238-213990952	chr1:213990238-213990952	PROX1	chr1	213990238	213990952	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	gene_edge_2kb	high_priority_promoter_gene_peak
GSM9558423	H187	45344	chr1:213993666-213994431	chr1:213993666-213994431	PROX1	chr1	213993666	213994431	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	proximal_10kb	proximal_peak
GSM9558423	H187	45345	chr1:213994683-213995524	chr1:213994683-213995524	PROX1	chr1	213994683	213995524	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	proximal_10kb	proximal_peak
GSM9558423	H187	45346	chr1:213996102-213996993	chr1:213996102-213996993	PROX1	chr1	213996102	213996993	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	proximal_10kb	proximal_peak
GSM9558423	H187	45347	chr1:214019304-214020180	chr1:214019304-214020180	PROX1	chr1	214019304	214020180	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	distal_100kb	distal_context_peak
GSM9558423	H187	45348	chr1:214030315-214031215	chr1:214030315-214031215	PROX1	chr1	214030315	214031215	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	distal_100kb	distal_context_peak
GSM9558423	H187	45349	chr1:214044191-214045092	chr1:214044191-214045092	PROX1	chr1	214044191	214045092	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Peaks	PROX1	distal_100kb	distal_context_peak
GSM9558423	H187	144143	chr9:95426418-95427278	chr9:95426418-95427278	PTCH1	chr9	95426418	95427278	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144144	chr9:95441954-95442744	chr9:95441954-95442744	PTCH1	chr9	95441954	95442744	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144145	chr9:95459566-95460448	chr9:95459566-95460448	PTCH1	chr9	95459566	95460448	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144146	chr9:95460607-95461296	chr9:95460607-95461296	PTCH1	chr9	95460607	95461296	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144147	chr9:95462207-95463106	chr9:95462207-95463106	PTCH1	chr9	95462207	95463106	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144148	chr9:95470250-95471148	chr9:95470250-95471148	PTCH1	chr9	95470250	95471148	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144149	chr9:95471877-95472766	chr9:95471877-95472766	PTCH1	chr9	95471877	95472766	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144150	chr9:95477235-95478073	chr9:95477235-95478073	PTCH1	chr9	95477235	95478073	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144151	chr9:95486140-95487069	chr9:95486140-95487069	PTCH1	chr9	95486140	95487069	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144152	chr9:95491334-95492215	chr9:95491334-95492215	PTCH1	chr9	95491334	95492215	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144153	chr9:95493914-95494782	chr9:95493914-95494782	PTCH1	chr9	95493914	95494782	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144154	chr9:95497035-95497919	chr9:95497035-95497919	PTCH1	chr9	95497035	95497919	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	proximal_10kb	proximal_peak
GSM9558423	H187	144155	chr9:95501855-95502768	chr9:95501855-95502768	PTCH1	chr9	95501855	95502768	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	proximal_10kb	proximal_peak
GSM9558423	H187	144156	chr9:95504165-95505046	chr9:95504165-95505046	PTCH1	chr9	95504165	95505046	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	proximal_10kb	proximal_peak
GSM9558423	H187	144157	chr9:95505545-95506419	chr9:95505545-95506419	PTCH1	chr9	95505545	95506419	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	gene_edge_2kb	high_priority_promoter_gene_peak
GSM9558423	H187	144158	chr9:95508876-95509782	chr9:95508876-95509782	PTCH1	chr9	95508876	95509782	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	gene_body_overlap	high_priority_promoter_gene_peak
GSM9558423	H187	144159	chr9:95510544-95511409	chr9:95510544-95511409	PTCH1	chr9	95510544	95511409	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	gene_body_overlap	high_priority_promoter_gene_peak
GSM9558423	H187	144160	chr9:95515650-95516556	chr9:95515650-95516556	PTCH1	chr9	95515650	95516556	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	gene_body_overlap	high_priority_promoter_gene_peak
GSM9558423	H187	144161	chr9:95516936-95517708	chr9:95516936-95517708	PTCH1	chr9	95516936	95517708	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	gene_body_overlap	high_priority_promoter_gene_peak
GSM9558423	H187	144162	chr9:95528713-95529744	chr9:95528713-95529744	PTCH1	chr9	95528713	95529744	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144163	chr9:95552779-95553709	chr9:95552779-95553709	PTCH1	chr9	95552779	95553709	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144164	chr9:95570408-95571314	chr9:95570408-95571314	PTCH1	chr9	95570408	95571314	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	144165	chr9:95572547-95573454	chr9:95572547-95573454	PTCH1	chr9	95572547	95573454	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Peaks	PTCH1	distal_100kb	distal_context_peak
GSM9558423	H187	109627	chr3:128650412-128651162	chr3:128650412-128651162	RAB7A	chr3	128650412	128651162	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109628	chr3:128680462-128681334	chr3:128680462-128681334	RAB7A	chr3	128680462	128681334	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109629	chr3:128698212-128699122	chr3:128698212-128699122	RAB7A	chr3	128698212	128699122	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109630	chr3:128707549-128708452	chr3:128707549-128708452	RAB7A	chr3	128707549	128708452	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109631	chr3:128720635-128721436	chr3:128720635-128721436	RAB7A	chr3	128720635	128721436	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	proximal_10kb	proximal_peak
GSM9558423	H187	109632	chr3:128725648-128726546	chr3:128725648-128726546	RAB7A	chr3	128725648	128726546	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	gene_body_overlap	gene_body_peak
GSM9558423	H187	109633	chr3:128768711-128769459	chr3:128768711-128769459	RAB7A	chr3	128768711	128769459	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	gene_body_overlap	gene_body_peak
GSM9558423	H187	109634	chr3:128783862-128784805	chr3:128783862-128784805	RAB7A	chr3	128783862	128784805	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	gene_body_overlap	gene_body_peak
GSM9558423	H187	109635	chr3:128794781-128795685	chr3:128794781-128795685	RAB7A	chr3	128794781	128795685	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	gene_body_overlap	gene_body_peak
GSM9558423	H187	109636	chr3:128800127-128801001	chr3:128800127-128801001	RAB7A	chr3	128800127	128801001	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	proximal_10kb	proximal_peak
GSM9558423	H187	109637	chr3:128801580-128802442	chr3:128801580-128802442	RAB7A	chr3	128801580	128802442	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	proximal_10kb	proximal_peak
GSM9558423	H187	109638	chr3:128812719-128813640	chr3:128812719-128813640	RAB7A	chr3	128812719	128813640	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109639	chr3:128814730-128815611	chr3:128814730-128815611	RAB7A	chr3	128814730	128815611	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109640	chr3:128824137-128825017	chr3:128824137-128825017	RAB7A	chr3	128824137	128825017	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109641	chr3:128844984-128845443	chr3:128844984-128845443	RAB7A	chr3	128844984	128845443	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109642	chr3:128845554-128846186	chr3:128845554-128846186	RAB7A	chr3	128845554	128846186	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109643	chr3:128864310-128865134	chr3:128864310-128865134	RAB7A	chr3	128864310	128865134	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109644	chr3:128865364-128865974	chr3:128865364-128865974	RAB7A	chr3	128865364	128865974	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109645	chr3:128875247-128876119	chr3:128875247-128876119	RAB7A	chr3	128875247	128876119	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	109646	chr3:128879092-128880009	chr3:128879092-128880009	RAB7A	chr3	128879092	128880009	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Peaks	RAB7A	distal_100kb	distal_context_peak
GSM9558423	H187	82315	chr17:79137423-79138197	chr17:79137423-79138197	RBFOX3	chr17	79137423	79138197	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82316	chr17:79146352-79147169	chr17:79146352-79147169	RBFOX3	chr17	79146352	79147169	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82317	chr17:79155044-79155638	chr17:79155044-79155638	RBFOX3	chr17	79155044	79155638	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82318	chr17:79168537-79169352	chr17:79168537-79169352	RBFOX3	chr17	79168537	79169352	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82319	chr17:79177011-79177757	chr17:79177011-79177757	RBFOX3	chr17	79177011	79177757	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82320	chr17:79183328-79184146	chr17:79183328-79184146	RBFOX3	chr17	79183328	79184146	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82321	chr17:79187767-79188588	chr17:79187767-79188588	RBFOX3	chr17	79187767	79188588	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82322	chr17:79200104-79200671	chr17:79200104-79200671	RBFOX3	chr17	79200104	79200671	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82323	chr17:79206070-79206851	chr17:79206070-79206851	RBFOX3	chr17	79206070	79206851	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82324	chr17:79207826-79208612	chr17:79207826-79208612	RBFOX3	chr17	79207826	79208612	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82325	chr17:79210881-79211781	chr17:79210881-79211781	RBFOX3	chr17	79210881	79211781	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82326	chr17:79214815-79215747	chr17:79214815-79215747	RBFOX3	chr17	79214815	79215747	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
GSM9558423	H187	82327	chr17:79223673-79224567	chr17:79223673-79224567	RBFOX3	chr17	79223673	79224567	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Peaks	RBFOX3	distal_100kb	distal_context_peak
